[2024-09-25 20:34:04] Strategy: GeneTrader_gen4_1727267609_4999, Generation: 4, total_profit_usdt: 25.54, total_profit_percent: 0.4257, win_rate: 0.838, max_drawdown: 0.09699999999999999, avg_profit: 0.57, avg_trade_duration: 38, total_trades: 130.0, sharpe_ratio: 6.63, daily_avg_trades: 2.06, fitness: 1056.0261147514511
[2024-09-25 20:34:41] Strategy: GeneTrader_gen5_1727267644_4158, Generation: 5, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:34:41] Strategy: GeneTrader_gen5_1727267644_4432, Generation: 5, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:34:41] Strategy: GeneTrader_gen5_1727267644_9852, Generation: 5, total_profit_usdt: 25.54, total_profit_percent: 0.4257, win_rate: 0.838, max_drawdown: 0.09699999999999999, avg_profit: 0.57, avg_trade_duration: 38, total_trades: 130.0, sharpe_ratio: 6.63, daily_avg_trades: 2.06, fitness: 1056.0261147514511
[2024-09-25 20:34:41] Strategy: GeneTrader_gen5_1727267644_7973, Generation: 5, total_profit_usdt: 23.296, total_profit_percent: 0.3883, win_rate: 0.84, max_drawdown: 0.1026, avg_profit: 0.53, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 5.83, daily_avg_trades: 2.08, fitness: 1080.6252572199683
[2024-09-25 20:35:18] Strategy: GeneTrader_gen5_1727267681_6134, Generation: 5, total_profit_usdt: 23.896, total_profit_percent: 0.3983, win_rate: 0.838, max_drawdown: 0.1027, avg_profit: 0.54, avg_trade_duration: 38, total_trades: 130.0, sharpe_ratio: 5.92, daily_avg_trades: 2.06, fitness: 1042.9906422666604
[2024-09-25 20:35:18] Strategy: GeneTrader_gen5_1727267681_8923, Generation: 5, total_profit_usdt: 23.557, total_profit_percent: 0.3926, win_rate: 0.838, max_drawdown: 0.1024, avg_profit: 0.54, avg_trade_duration: 38, total_trades: 130.0, sharpe_ratio: 5.84, daily_avg_trades: 2.06, fitness: 1040.2890555610297
[2024-09-25 20:35:18] Strategy: GeneTrader_gen5_1727267681_9804, Generation: 5, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:35:33] Strategy: GeneTrader_gen5_1727267681_1024, Generation: 5, total_profit_usdt: -50.756, total_profit_percent: -0.8459, win_rate: 0.752, max_drawdown: 0.8502, avg_profit: -0.17, avg_trade_duration: 41, total_trades: 2089.0, sharpe_ratio: 0, daily_avg_trades: 33.16, fitness: 96.0450800764671
[2024-09-25 20:35:54] Strategy: GeneTrader_gen5_1727267718_2888, Generation: 5, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:35:54] Strategy: GeneTrader_gen5_1727267718_1927, Generation: 5, total_profit_usdt: 24.447, total_profit_percent: 0.4075, win_rate: 0.84, max_drawdown: 0.09119999999999999, avg_profit: 0.55, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.43, daily_avg_trades: 2.08, fitness: 1090.1019994694468
[2024-09-25 20:35:54] Strategy: GeneTrader_gen5_1727267718_6716, Generation: 5, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:36:01] Strategy: GeneTrader_gen5_1727267733_3341, Generation: 5, total_profit_usdt: 25.54, total_profit_percent: 0.4257, win_rate: 0.838, max_drawdown: 0.09699999999999999, avg_profit: 0.57, avg_trade_duration: 38, total_trades: 130.0, sharpe_ratio: 6.63, daily_avg_trades: 2.06, fitness: 1056.0261147514511
[2024-09-25 20:36:39] Strategy: GeneTrader_gen6_1727267761_4314, Generation: 6, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:36:40] Strategy: GeneTrader_gen6_1727267761_4090, Generation: 6, total_profit_usdt: 24.447, total_profit_percent: 0.4075, win_rate: 0.84, max_drawdown: 0.09119999999999999, avg_profit: 0.55, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.43, daily_avg_trades: 2.08, fitness: 1090.1019994694468
[2024-09-25 20:36:40] Strategy: GeneTrader_gen6_1727267761_2175, Generation: 6, total_profit_usdt: 24.878, total_profit_percent: 0.4146, win_rate: 0.838, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 130.0, sharpe_ratio: 6.51, daily_avg_trades: 2.06, fitness: 1050.7355662878178
[2024-09-25 20:36:40] Strategy: GeneTrader_gen6_1727267761_3685, Generation: 6, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:37:27] Strategy: GeneTrader_gen6_1727267800_1895, Generation: 6, total_profit_usdt: 25.54, total_profit_percent: 0.4257, win_rate: 0.838, max_drawdown: 0.09699999999999999, avg_profit: 0.57, avg_trade_duration: 38, total_trades: 130.0, sharpe_ratio: 6.63, daily_avg_trades: 2.06, fitness: 1056.0261147514511
[2024-09-25 20:37:27] Strategy: GeneTrader_gen6_1727267800_2337, Generation: 6, total_profit_usdt: 24.447, total_profit_percent: 0.4075, win_rate: 0.84, max_drawdown: 0.09119999999999999, avg_profit: 0.55, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.43, daily_avg_trades: 2.08, fitness: 1090.1019994694468
[2024-09-25 20:37:27] Strategy: GeneTrader_gen6_1727267800_4729, Generation: 6, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:37:47] Strategy: GeneTrader_gen6_1727267799_2394, Generation: 6, total_profit_usdt: -55.428, total_profit_percent: -0.9238, win_rate: 0.6759999999999999, max_drawdown: 0.9243000000000001, avg_profit: -0.22, avg_trade_duration: 43, total_trades: 2282.0, sharpe_ratio: 0, daily_avg_trades: 36.22, fitness: 19.981391507820447
[2024-09-25 20:38:07] Strategy: GeneTrader_gen6_1727267847_5696, Generation: 6, total_profit_usdt: 24.447, total_profit_percent: 0.4075, win_rate: 0.84, max_drawdown: 0.09119999999999999, avg_profit: 0.55, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.43, daily_avg_trades: 2.08, fitness: 1090.1019994694468
[2024-09-25 20:38:07] Strategy: GeneTrader_gen6_1727267847_3732, Generation: 6, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:38:07] Strategy: GeneTrader_gen6_1727267847_8180, Generation: 6, total_profit_usdt: 24.447, total_profit_percent: 0.4075, win_rate: 0.84, max_drawdown: 0.09119999999999999, avg_profit: 0.55, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.43, daily_avg_trades: 2.08, fitness: 1090.1019994694468
[2024-09-25 20:38:16] Strategy: GeneTrader_gen6_1727267867_4251, Generation: 6, total_profit_usdt: 24.447, total_profit_percent: 0.4075, win_rate: 0.84, max_drawdown: 0.09119999999999999, avg_profit: 0.55, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.43, daily_avg_trades: 2.08, fitness: 1090.1019994694468
[2024-09-25 20:38:53] Strategy: GeneTrader_gen7_1727267896_8835, Generation: 7, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:38:53] Strategy: GeneTrader_gen7_1727267896_6608, Generation: 7, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:38:54] Strategy: GeneTrader_gen7_1727267896_8349, Generation: 7, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:38:54] Strategy: GeneTrader_gen7_1727267896_7728, Generation: 7, total_profit_usdt: 24.478, total_profit_percent: 0.408, win_rate: 0.853, max_drawdown: 0.1024, avg_profit: 0.56, avg_trade_duration: 33, total_trades: 129.0, sharpe_ratio: 5.62, daily_avg_trades: 2.05, fitness: 1414.106867095157
[2024-09-25 20:39:31] Strategy: GeneTrader_gen7_1727267933_1606, Generation: 7, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:39:31] Strategy: GeneTrader_gen7_1727267933_6677, Generation: 7, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:39:31] Strategy: GeneTrader_gen7_1727267934_7852, Generation: 7, total_profit_usdt: 24.815, total_profit_percent: 0.41359999999999997, win_rate: 0.84, max_drawdown: 0.09119999999999999, avg_profit: 0.55, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.51, daily_avg_trades: 2.08, fitness: 1093.1214997532406
[2024-09-25 20:39:37] Strategy: GeneTrader_gen7_1727267934_6097, Generation: 7, total_profit_usdt: 68.891, total_profit_percent: 1.1481999999999999, win_rate: 0.805, max_drawdown: 0.3803, avg_profit: 0.18, avg_trade_duration: 40, total_trades: 959.0, sharpe_ratio: 18.32, daily_avg_trades: 15.22, fitness: 738.5623717834636
[2024-09-25 20:40:07] Strategy: GeneTrader_gen7_1727267971_1900, Generation: 7, total_profit_usdt: 24.447, total_profit_percent: 0.4075, win_rate: 0.84, max_drawdown: 0.09119999999999999, avg_profit: 0.55, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.43, daily_avg_trades: 2.08, fitness: 1090.1019994694468
